Student,Team,Fork,Java,Test,UG
jeremyinelysium,W13,1,0,0,0
chanchuncheong,W13,1,2,1,0
kohjunkiat,W13,1,4,1,2
guiyong96,W13,1,1,0,0
iashcole,W13,1,1,0,0
elstonayx,W12,1,1,0,1
lekoook,W12,1,3,1,0
scottljw,W12,1,1,0,1
peiying98,W12,0,0,0,0
junweiljw,W12,1,1,0,0
chokxy,T12,1,1,0,0
cqinkai,T12,1,5,2,0
davindran,T12,1,0,0,0
haoweiharry,T12,0,0,0,0
tertium3,T12,1,0,3,0
parask26,T13,1,1,0,0
e0191729,T13,1,4,0,0
garyheng,T13,1,2,0,0
ian-tjahjono,T13,0,0,0,0
amirulmaricar,T13,1,3,0,0
e0176882,T13,1,2,0,0
tsuweiquan,T13,1,7,0,0
hansskoh,T13,0,0,0,0
yicheng12,T13,1,1,0,0
dyeosy98,T13,0,0,0,0
ftywan,T09,1,1,0,0
nguyenngoclinhchi,T09,1,3,0,0
tehzt,T09,0,0,0,0
shiningggg,T09,1,0,0,0
xiaoyunhan,T09,1,1,0,0
xinshenzi,T09,0,0,0,0
oscar zeng,T09,0,0,0,0
allenzb,T09,1,2,0,0
za-yn,T09,1,1,0,0
ryanchen2018,T16,1,1,0,0
speezy37,T16,1,3,1,0
chuazhenwei,T16,1,1,0,0
jomcruz93,T16,1,1,1,0
zhicaizack,T16,1,1,2,1
pinjuen,T16,1,1,0,0
limyisheng,T16,1,1,0,0
xiiaopanda,T16,1,1,0,0
zhihong8888,T16,1,1,0,0
angwm,F09,1,1,2,0
derpyplops,F09,1,0,0,0
sarahtaaherbonna,F09,1,1,0,0
ladderinc,F09,1,1,1,0
kronicler,F09,0,0,0,0
lucdx,F10,1,1,0,0
meisbokai,F10,1,1,0,0
ongjiajian,F10,1,2,0,0
keithtqs,F10,1,1,0,0
